IdExecMin,StrategyExec,App,AppFramework,AppTpFramework,DeviceConfig,SuiteTestCaseName,QttEventsMapping,Successful,TotalTime,QttExec,QttEventsExec,QttEventsExecSuccessful,QttEventsExecUnSuccessful,PercentageEventSuccessful,TotalTimeEventsSuccessful
1954,IndividualExpressionElementType,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F3,5,1,35531.359375,1,5,5,0,100,25816.9140625
1957,IndividualExpressionIdentifyAttributes,TodoList,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F3,5,1,36876.6328125,1,5,4,0,80,12335.1328125
1960,CombinedExpressionsInOrder,TodoListCordova,Cordova,Hybrid,Android4-4-TabletSamsung,F1,2,0,0,1,1,0,1,0,0
1961,CombinedExpressionsMultiLocator,TodoListCordova,Cordova,Hybrid,Android4-4-TabletSamsung,F1,2,0,0,1,1,0,1,0,0
1962,IndividualExpressionAbsolutePath,TodoListCordova,Cordova,Hybrid,Android4-4-TabletSamsung,F1,2,0,0,1,1,0,1,0,0
1963,IndividualExpressionAncestorAttributes,TodoListCordova,Cordova,Hybrid,Android4-4-TabletSamsung,F1,2,0,0,1,1,0,1,0,0
1964,IndividualExpressionAncestorIndex,TodoListCordova,Cordova,Hybrid,Android4-4-TabletSamsung,F1,2,0,0,1,1,0,1,0,0
1965,IndividualExpressionCrossPlatform,TodoListCordova,Cordova,Hybrid,Android4-4-TabletSamsung,F1,2,0,0,1,1,0,1,0,0
1966,IndividualExpressionElementType,TodoListCordova,Cordova,Hybrid,Android4-4-TabletSamsung,F1,2,0,0,1,1,0,1,0,0
1967,IndividualExpressionIdentifyAttributes,TodoListCordova,Cordova,Hybrid,Android4-4-TabletSamsung,F1,2,0,0,1,1,0,1,0,0
1968,CombinedExpressionsInOrder,TodoListCordova,Cordova,Hybrid,Android5-1-MotoG1,F1,2,1,13668.609375,1,2,2,0,100,11376.078125
1969,CombinedExpressionsMultiLocator,TodoListCordova,Cordova,Hybrid,Android5-1-MotoG1,F1,2,1,20199.4296875,1,2,2,0,100,17639.5234375
1970,IndividualExpressionAbsolutePath,TodoListCordova,Cordova,Hybrid,Android5-1-MotoG1,F1,2,1,12699.0546875,1,2,2,0,100,10461.3359375
1971,IndividualExpressionAncestorAttributes,TodoListCordova,Cordova,Hybrid,Android5-1-MotoG1,F1,2,1,18291.25,1,2,2,0,100,15097.6640625
1972,IndividualExpressionAncestorIndex,TodoListCordova,Cordova,Hybrid,Android5-1-MotoG1,F1,2,1,11490.8203125,1,2,2,0,100,9188.3046875
1973,IndividualExpressionCrossPlatform,TodoListCordova,Cordova,Hybrid,Android5-1-MotoG1,F1,2,1,13288.8671875,1,2,2,0,100,11028.7578125
1974,IndividualExpressionElementType,TodoListCordova,Cordova,Hybrid,Android5-1-MotoG1,F1,2,1,12517.4140625,1,2,2,0,100,10283.53125
1975,IndividualExpressionIdentifyAttributes,TodoListCordova,Cordova,Hybrid,Android5-1-MotoG1,F1,2,1,13373.7734375,1,2,2,0,100,11144.1015625
1976,CombinedExpressionsInOrder,TodoListCordova,Cordova,Hybrid,Android6-0-1-MotoG4,F1,2,1,13304.078125,1,2,2,0,100,10995.4375
1977,CombinedExpressionsMultiLocator,TodoListCordova,Cordova,Hybrid,Android6-0-1-MotoG4,F1,2,1,20568.7890625,1,2,2,0,100,18339.5546875
1978,IndividualExpressionAbsolutePath,TodoListCordova,Cordova,Hybrid,Android6-0-1-MotoG4,F1,2,1,13010.2578125,1,2,2,0,100,10708.671875
1979,IndividualExpressionAncestorAttributes,TodoListCordova,Cordova,Hybrid,Android6-0-1-MotoG4,F1,2,1,13103.1015625,1,2,2,0,100,10846.375
1980,IndividualExpressionAncestorIndex,TodoListCordova,Cordova,Hybrid,Android6-0-1-MotoG4,F1,2,1,11212.0625,1,2,2,0,100,8948.6796875
1981,IndividualExpressionCrossPlatform,TodoListCordova,Cordova,Hybrid,Android6-0-1-MotoG4,F1,2,1,11437.6953125,1,2,2,0,100,9133.84375
1982,IndividualExpressionElementType,TodoListCordova,Cordova,Hybrid,Android6-0-1-MotoG4,F1,2,1,12997.2265625,1,2,2,0,100,10789.4765625
1983,IndividualExpressionIdentifyAttributes,TodoListCordova,Cordova,Hybrid,Android6-0-1-MotoG4,F1,2,1,13060.8671875,1,2,2,0,100,10881.59375
1984,CombinedExpressionsInOrder,TodoListCordova,Cordova,Hybrid,IOS10-2-iPad4,F1,2,1,27415.4609375,1,2,2,0,100,23004.5546875
1985,CombinedExpressionsMultiLocator,TodoListCordova,Cordova,Hybrid,IOS10-2-iPad4,F1,2,1,90011.96875,1,2,2,0,100,84920.015625
1986,IndividualExpressionAbsolutePath,TodoListCordova,Cordova,Hybrid,IOS10-2-iPad4,F1,2,0,0,1,1,0,1,0,0
